order_id,customer_id,product,quantity,order_date,status,unit_price,total_price
1001,2,Speaker,2.0,2024-08-30,pending,1187.53,2375.06
1002,3,Laptop,2.0,2025-06-26,completed,259.31,518.62
1003,37,Charger,2.0,2024-02-09,pending,204.45,408.9
1004,17,Keyboard,2.0,2024-08-16,completed,734.87,1469.74
1005,2,Monitor,3.0,2025-07-01,cancelled,781.16,2343.48
1006,2,Charger,3.0,2024-08-10,completed,204.45,613.35
1007,28,Tablet,2.0,2024-01-06,returned,877.66,1755.32
1008,23,Phone,4.0,2024-11-17,pending,327.7,1310.8
1009,37,Laptop,1.0,2025-04-12,completed,259.31,259.31
1010,32,Monitor,2.0,2024-03-15,completed,781.16,1562.32
1011,33,Charger,4.0,2024-01-04,returned,204.45,817.8
1012,1,Phone,1.0,2024-04-27,completed,327.7,327.7
1013,19,Headphones,2.0,2025-05-18,completed,1124.62,2249.24
1014,2,Laptop,2.0,2025-03-16,completed,259.31,518.62
1015,26,Laptop,3.0,2024-07-12,completed,259.31,777.93
1016,32,Headphones,1.0,2025-01-26,pending,1124.62,1124.62
1017,6,Keyboard,1.0,2024-01-26,completed,734.87,734.87
1018,32,Headphones,4.0,2025-03-10,completed,1124.62,4498.48
1019,4,Laptop,3.0,2024-06-21,completed,259.31,777.93
1020,11,Laptop,3.0,2024-10-26,completed,259.31,777.93
1021,17,Charger,3.0,2024-11-21,completed,204.45,613.35
1022,38,Speaker,3.0,2025-02-13,completed,1187.53,3562.59
1023,24,Phone,1.0,2024-04-27,cancelled,327.7,327.7
1024,5,Headphones,1.0,2024-08-12,completed,1124.62,1124.62
1025,34,Phone,2.0,2025-06-15,completed,327.7,655.4
1026,6,Headphones,2.0,2024-04-22,pending,1124.62,2249.24
1027,22,Tablet,3.0,2024-05-19,completed,877.66,2632.98
1028,11,Laptop,3.0,2024-01-01,pending,259.31,777.93
1029,16,Speaker,3.0,2024-03-30,completed,1187.53,3562.59
1030,33,Charger,2.0,2024-11-15,completed,204.45,408.9
1031,9,Speaker,4.0,2025-07-03,completed,1187.53,4750.12
1032,6,Speaker,4.0,2024-05-18,completed,1187.53,4750.12
1033,16,Speaker,2.0,2025-05-25,pending,1187.53,2375.06
1034,29,Phone,2.0,2024-09-15,completed,327.7,655.4
1035,3,Headphones,2.0,2024-01-10,completed,1124.62,2249.24
1036,20,Webcam,2.0,2024-09-17,completed,461.55,923.1
1037,36,Tablet,2.0,2024-06-20,completed,877.66,1755.32
1038,19,Monitor,2.0,2024-01-13,pending,781.16,1562.32
1039,26,Speaker,3.0,2024-06-16,completed,1187.53,3562.59
1040,3,Keyboard,3.0,2024-11-16,completed,734.87,2204.61
1041,19,Phone,3.0,2024-11-14,completed,327.7,983.1
1042,20,Charger,3.0,2024-11-24,completed,204.45,613.35
1043,32,Monitor,2.0,2025-07-03,pending,781.16,1562.32
1044,7,Webcam,4.0,2025-02-22,completed,461.55,1846.2
1045,33,Keyboard,1.0,2024-04-04,pending,734.87,734.87
1046,40,Webcam,2.0,2024-11-13,completed,461.55,923.1
1047,39,Monitor,1.0,2024-08-23,completed,781.16,781.16
1048,18,Speaker,4.0,2024-11-29,returned,1187.53,4750.12
1049,40,Keyboard,3.0,2025-01-10,completed,734.87,2204.61
1050,1,Webcam,4.0,2025-04-03,completed,461.55,1846.2
1051,11,Charger,2.0,2024-05-16,pending,204.45,408.9
1052,28,Headphones,3.0,2025-06-30,completed,1124.62,3373.86
1053,25,Laptop,2.0,2025-05-27,pending,259.31,518.62
1054,23,Headphones,3.0,2024-10-22,completed,1124.62,3373.86
1055,31,Monitor,1.0,2024-11-15,cancelled,781.16,781.16
1056,30,Phone,1.0,2024-12-14,pending,327.7,327.7
1057,35,Laptop,1.0,2024-08-16,completed,259.31,259.31
1058,7,Tablet,4.0,2024-09-26,cancelled,877.66,3510.64
1059,16,Charger,2.0,2024-10-17,completed,204.45,408.9
1060,26,Tablet,4.0,2024-06-13,returned,877.66,3510.64
1061,2,Keyboard,1.0,2024-01-05,completed,734.87,734.87
1062,1,Laptop,2.0,2025-01-13,completed,259.31,518.62
1063,12,Tablet,1.0,2024-03-18,completed,877.66,877.66
1064,5,Tablet,4.0,2025-02-13,completed,877.66,3510.64
1065,37,Webcam,4.0,2024-05-11,completed,461.55,1846.2
1066,32,Headphones,4.0,2024-02-11,pending,1124.62,4498.48
1067,9,Webcam,1.0,2024-03-29,pending,461.55,461.55
1068,35,Laptop,2.0,2025-02-05,returned,259.31,518.62
1069,19,Laptop,2.0,2024-10-22,completed,259.31,518.62
1070,16,Monitor,1.0,2024-10-21,completed,781.16,781.16
1071,3,Webcam,2.0,2025-06-09,completed,461.55,923.1
1072,20,Mouse,1.0,2025-02-25,completed,213.65,213.65
1073,24,Headphones,2.0,2024-01-23,completed,1124.62,2249.24
1074,33,Laptop,3.0,2024-05-22,completed,259.31,777.93
1075,24,Monitor,3.0,2024-05-24,pending,781.16,2343.48
1076,11,Webcam,4.0,2024-08-12,completed,461.55,1846.2
1077,8,Headphones,3.0,2025-05-17,completed,1124.62,3373.86
1078,36,Webcam,3.0,2024-04-13,completed,461.55,1384.65
1079,38,Tablet,3.0,2024-02-08,completed,877.66,2632.98
1080,40,Monitor,1.0,2024-07-16,completed,781.16,781.16
1081,20,Headphones,3.0,2025-01-25,returned,1124.62,3373.86
1082,35,Speaker,3.0,2024-06-27,completed,1187.53,3562.59
1083,25,Keyboard,,2025-03-23,completed,734.87,2939.48
1084,35,Keyboard,3.0,2025-05-14,completed,734.87,2204.61
1085,25,Headphones,3.0,2024-01-15,pending,1124.62,3373.86
1086,29,Webcam,2.0,2024-10-15,returned,461.55,923.1
1087,18,Monitor,4.0,2025-04-22,pending,781.16,3124.64
1088,18,Keyboard,4.0,2024-08-18,completed,734.87,2939.48
1089,2,Monitor,4.0,2025-02-23,completed,781.16,3124.64
1090,35,Keyboard,4.0,2024-06-05,completed,734.87,2939.48
1091,16,Tablet,4.0,2025-07-03,returned,877.66,3510.64
1092,36,Webcam,4.0,2025-03-16,pending,461.55,1846.2
1093,33,Tablet,1.0,2024-04-06,completed,877.66,877.66
1094,4,Keyboard,3.0,2025-02-14,pending,734.87,2204.61
1095,33,Speaker,4.0,2024-10-15,pending,1187.53,4750.12
1096,14,Speaker,3.0,2024-09-10,completed,1187.53,3562.59
1097,21,Tablet,3.0,2024-07-14,returned,877.66,2632.98
1098,20,Speaker,1.0,2025-06-05,cancelled,1187.53,1187.53
1099,8,Keyboard,4.0,2025-05-31,completed,734.87,2939.48
1100,7,Headphones,2.0,2024-04-27,completed,1124.62,2249.24
1101,3,Tablet,1.0,2024-06-07,completed,877.66,877.66
1102,17,Phone,2.0,2024-08-15,completed,327.7,655.4
1103,33,Webcam,3.0,2024-08-03,completed,461.55,1384.65
1104,12,Speaker,3.0,2024-01-15,completed,1187.53,3562.59
1105,22,Speaker,1.0,2024-06-05,returned,1187.53,1187.53
1106,22,Laptop,1.0,2024-09-17,completed,259.31,259.31
1107,30,Mouse,2.0,2024-06-05,completed,213.65,427.3
1108,38,Tablet,4.0,2024-02-16,completed,877.66,3510.64
1109,38,Charger,2.0,2024-11-19,completed,204.45,408.9
1110,8,Speaker,1.0,2024-05-09,pending,1187.53,1187.53
1111,27,Webcam,2.0,2025-02-14,completed,461.55,923.1
1112,27,Phone,1.0,2024-04-04,completed,327.7,327.7
1113,34,Speaker,2.0,2024-10-18,completed,1187.53,2375.06
1114,21,Phone,1.0,2024-10-09,pending,327.7,327.7
1115,30,Keyboard,1.0,2024-03-09,pending,734.87,734.87
1116,33,Keyboard,1.0,2024-01-11,completed,734.87,734.87
